DATE,LOCATION,YOUTUBE LINK
03/12/2022,Lakeline Oaks Retirement Home,https://youtube.com/playlist?list=PLX8yRUJzGrlDazkp2vKqvFJQZIooSBpfu&si=3jYdAFQQrWfXo09R
04/15/2022,Maple Ridge Retirement Home,https://www.youtube.com/playlist?list=PLX8yRUJzGrlAjd7oZK3eruf_7TiO67zzr
05/22/2022,Lakeline Oaks Retirement Home,https://www.youtube.com/playlist?list=PLX8yRUJzGrlDuvgnIpAps814zMh8Asggm
08/14/2022,Pflugerville Community Center,https://www.youtube.com/playlist?list=PLX8yRUJzGrlDafCtvP8_kJKnK5uwRFocv
09/25/2022,Renaissance Austin,https://www.youtube.com/watch?v=d2jV1xtURHc&list=PLX8yRUJzGrlAHhRTZBpBzwum8NtAzMNVH&pp=iAQB
11/21/2022,Longhorn Village,https://www.youtube.com/watch?v=Md3kUgk8e80&list=PLX8yRUJzGrlCcgtTtbRBMv3zJtmjIulEs&pp=iAQB
11/27/2022,Longhorn Village,https://www.youtube.com/watch?v=eMTMeXWkQK8&list=PLX8yRUJzGrlAVXcmfOo_pVZNVyao4NryY&pp=iAQB
12/22/2022,Clairemont Retirement Community,https://www.youtube.com/watch?v=N8xOxDXamQ4&list=PLX8yRUJzGrlCH8gfki0e6U2LgSNjrUddq&pp=iAQB
12/24/2022,Project Melody Winter Online Concert,https://www.youtube.com/watch?v=_huanoVBaxM&list=PLX8yRUJzGrlD1JPgBeL84wdYo7RJ8QVl4&pp=iAQB
01/16/2023,Enclave,https://www.youtube.com/watch?v=HrtRlvqQjR4&list=PLX8yRUJzGrlCQLp0jixpGT0RKRLa3HDky&pp=iAQB
02/11/2023,ACAN Cultural Festival,https://www.youtube.com/watch?v=nQqOnMfP-GQ&list=PLX8yRUJzGrlDUyiEU8VOqCad-asV65J4y&pp=iAQB
02/20/2023,Longhorn Village,https://www.youtube.com/watch?v=HcolcuRqEGo&list=PLX8yRUJzGrlC_FcSEgq9zdj4V96nXO4Ok&pp=iAQB
03/04/2023,ACE Global Festival,https://www.youtube.com/watch?v=dg9kNr347RA&list=PLX8yRUJzGrlCkkV9X7bCLsXty3hpy9Qrr&pp=iAQB
03/19/2023,Isle at Cedar Ridge,https://www.youtube.com/watch?v=qOHTybDglrw&list=PLX8yRUJzGrlABdqHp4P4uC5pPdMey3fth&pp=iAQB
04/07/2023,St. Davids North Austin Medical Center,https://www.youtube.com/watch?v=Ndq9ewXHlzk&list=PLX8yRUJzGrlCoV7i0rhIqiP6fGHSuWzhu&pp=iAQB
06/10/2023,Renaissance,https://www.youtube.com/watch?v=e6c5LeH24kQ&list=PLX8yRUJzGrlAwNJ3QyV86Nq1_MeAW1A-v&pp=iAQB
07/30/2023,Auberge Bee Cave,https://www.youtube.com/watch?v=CNJS4aV6HOs&list=PLX8yRUJzGrlAmZwiyDkfBtGpUAQNRbhQv&pp=iAQB
09/16/2023,ACAN Mid-Autumn Festival,https://www.youtube.com/watch?v=v1_KZ5sNKRc&list=PLX8yRUJzGrlBplGjX3pqaC_XKuM4VDj8E&pp=iAQB
11/22/2023,Lakeline Oaks Retirement Home,https://www.youtube.com/watch?v=cimlHN6d22w&list=PLX8yRUJzGrlAe5n8b_mG_0y4FK-Xhk-cA&pp=iAQB
12/18/2023,Parmer Woods,https://www.youtube.com/watch?v=V484ML5e79A&list=PLX8yRUJzGrlDDJ_1H2IWTcFmtDaf0jWB_&pp=iAQB
12/21/2023,The Pavilion,https://www.youtube.com/watch?v=1uOK5SY84yw&list=PLX8yRUJzGrlDRoHg10KMrDMCegvShjQmU&pp=iAQB
02/19/2024,Enclave,https://www.youtube.com/watch?v=ZMh5N6u6CTk&list=PLX8yRUJzGrlBfPXAuYqhEGsJ7kcOyQpiq&pp=iAQB
03/29/2024,Longhorn Village,https://www.youtube.com/watch?v=_gKMMuWgBVk&list=PLX8yRUJzGrlAA8Bm9oaK1n1HZxboi0hII&pp=iAQB
05/24/2024,Parmer Woods,https://www.youtube.com/watch?v=jriChZgRr3M&list=PLX8yRUJzGrlAiSsEsrQ5wRZ04MYbcvQoz&pp=iAQB
06/21/2024,Clairemont Retirement Community,https://www.youtube.com/watch?v=e5fha4tf68M&list=PLX8yRUJzGrlA8VXhRMTK7yxU8I3CY49Gc&pp=iAQB
